step,object,x,y,zoom,page,question,answer,alt_text,layer1_button,layer1_content,layer2_button,layer2_content,clip_start,clip_end,loop
paso,objeto,x,y,zoom,pagina,pregunta,respuesta,texto_alt,boton1,contenido1,boton2,contenido2,inicio_clip,fin_clip,bucle
1,b394e160cdd94a12b406db480f5cb19e1105c,0.5,0.5,1.0050000000000001,,"How many people were at the 1992 Halloween celebration? ","This is a photo of Isla Vista's layout in the 1990s. In what is widely regarded as the peak attendance for I.V. Halloween, police officials estimated roughly 40,000 attendees. It is unknown what percentage of attendees were from out of town. However, there were roughly 18,000 students at UCSB, meaning most attendees were from out of town. ",,Learn more,the-visual-history-learn-more.md,Go deeper,the-visual-history-photos-courtesy-of.md,,,
2,screenshot-20260606-at-20324-pm,0.5201492981188339,0.5131370099627666,1.08,,Where were most people located?,"According to Daily Nexus coverage at the time, long keg lines and band parties lined Del Playa Drive, Sabado Tarde, and Trigo. 

It’s important to note that I.V. is built alongside bluffs. The street alongside the cliff, Del Playa Drive, is incidentally the most popular street to host parties on, presumably for its view. This creates an oftentimes dangerous scenario in which intoxicated young adults find themselves near cliffs that are continuously eroding. ",,Learn more,the-visual-history-mixed-reactions.md,,,,,
3,screenshot-20260606-at-24321-pm,0.47909775994477466,0.5397398793955028,0.8815325972660362,,How many people were arrested?,"Police arrested over 1,000 people throughout the weekend. According to Daily Nexus coverage at the time, approximately 300 people were arrested on Friday, and 700 people on Saturday.  ",,Learn more,the-visual-history-law-enforcement-details.md,,,,,
4,screenshot-20260606-at-31603-pm,0.41854814158733145,0.5394358054259644,1.465872590769231,,Did anyone fall from the bluffs?,"Yes, two individuals fell on Saturday evening. According to Daily Nexus reporting, a teenager fell 65 feet from the 66 block after 8 p.m. on Saturday. Emergency responders found him on the beach. The victim was initially in critical condition but survived. 

""The call ran perfectly. It was just massive head trauma,"" an emergency responder said.",,Learn more,the-visual-history-a-visualization.md,,,,,
5,screenshot-20260606-at-40833-pm,0.5000112648660826,0.5599844680568528,0.9772483938461539,,Did anyone fall from the bluffs? cont.,"Another person, an 18-year-old, fell later that same night near ""Dog Shit"" or Sea Lookout Park shortly before midnight. He fell over 100 feet and sustained head injuries and broken bones in his shoulders and legs.",,Learn more,the-visual-history-media-coverage.md,,,,,
6,screenshot-20260526-at-65412-pm,0.5000000000000019,0.5021030494216584,1,,Where was help located?,"According to a map published in the Santa Barbara News-Press, headquarters for the local volunteer group, Red Alert, was located on 65 Trigo Rd. Search and Rescue paramedics were also on Trigo. The I.V. Foot Patrol Office was on Pardall Rd.",,,,,,,,
7,adebdd6e48cf4935b8bcd847953a46cc1105c-1,0.5,0.5,1.0050000000000001,,What was the aftermath of the celebration?,"Local authorities came together in 1993 to establish a five-year plan aimed at drastically reducing I.V.’s Halloween parties. Some of its strategies included enforcing “open container” and “open party” laws, limiting street parking, and expanding on-campus activities. 

Since then, celebrations have spread throughout October, as I.V. is closed down during Halloween weekend, and there has been less of an outside presence.",,,,,,,,
